Data_horario;Frutas
2022-06-01 12:20:00;manga
2022-06-01 12:40:00;banana
2022-06-01 13:00:00;melancia
2022-06-01 13:20:00;abacate
2022-06-01 13:40:00;abacaxi
2022-06-01 14:00:00;tangerina
2022-06-01 14:20:00;abacaxi
2022-06-01 14:40:00;manga
2022-06-01 15:00:00;uva
2022-06-01 15:20:00;abacate
2022-06-01 15:40:00;tangerina
2022-06-01 16:00:00;goiaba
2022-06-01 16:20:00;abacate
2022-06-01 16:40:00;abacaxi
2022-06-01 17:00:00;melancia
2022-06-01 17:20:00;melancia
2022-06-01 17:40:00;abacaxi
2022-06-01 18:00:00;goiaba
2022-06-01 18:20:00;abacaxi
2022-06-01 18:40:00;tangerina
2022-06-01 19:00:00;melancia
2022-06-01 19:20:00;abacate
2022-06-01 19:40:00;uva
2022-06-01 20:00:00;abacaxi
2022-06-01 20:20:00;goiaba
2022-06-01 20:40:00;uva
2022-06-01 21:00:00;abacate
2022-06-01 21:20:00;uva
2022-06-01 21:40:00;uva
2022-06-01 22:00:00;melancia
2022-06-01 22:20:00;abacate
2022-06-01 22:40:00;goiaba
2022-06-01 23:00:00;abacate
2022-06-01 23:20:00;tangerina
2022-06-01 23:40:00;banana
2022-06-02 00:00:00;laranja
2022-06-02 00:20:00;melancia
2022-06-02 00:40:00;banana
2022-06-02 01:00:00;tangerina
2022-06-02 01:20:00;abacaxi
2022-06-02 01:40:00;uva
2022-06-02 02:00:00;laranja
2022-06-02 02:20:00;tangerina
2022-06-02 02:40:00;banana
2022-06-02 03:00:00;abacaxi
2022-06-02 03:20:00;uva
2022-06-02 03:40:00;uva
2022-06-02 04:00:00;goiaba
2022-06-02 04:20:00;manga
2022-06-02 04:40:00;abacaxi
2022-06-02 05:00:00;tangerina
2022-06-02 05:20:00;abacaxi
2022-06-02 05:40:00;uva
2022-06-02 06:00:00;abacate
2022-06-02 06:20:00;uva
2022-06-02 06:40:00;goiaba
2022-06-02 07:00:00;pessego
2022-06-02 07:20:00;tangerina
2022-06-02 07:40:00;melancia
2022-06-02 08:00:00;manga
2022-06-02 08:20:00;pessego
2022-06-02 08:40:00;uva
2022-06-02 09:00:00;pessego
2022-06-02 09:20:00;manga
2022-06-02 09:40:00;laranja
2022-06-02 10:00:00;goiaba
2022-06-02 10:20:00;banana
2022-06-02 10:40:00;goiaba
2022-06-02 11:00:00;abacaxi
2022-06-02 11:20:00;uva
2022-06-02 11:40:00;laranja
2022-06-02 12:00:00;tangerina
2022-06-02 12:20:00;pessego
2022-06-02 12:40:00;manga
2022-06-02 13:00:00;pessego
2022-06-02 13:20:00;laranja
2022-06-02 13:40:00;uva
2022-06-02 14:00:00;abacaxi
2022-06-02 14:20:00;abacaxi
2022-06-02 14:40:00;tangerina
2022-06-02 15:00:00;melancia
2022-06-02 15:20:00;banana
2022-06-02 15:40:00;manga
2022-06-02 16:00:00;banana
2022-06-02 16:20:00;pessego
2022-06-02 16:40:00;melancia
2022-06-02 17:00:00;abacate
2022-06-02 17:20:00;abacaxi
2022-06-02 17:40:00;tangerina
2022-06-02 18:00:00;uva
2022-06-02 18:20:00;manga
2022-06-02 18:40:00;manga
2022-06-02 19:00:00;manga
2022-06-02 19:20:00;uva
2022-06-02 19:40:00;pessego
2022-06-02 20:00:00;uva
2022-06-02 20:20:00;pessego
2022-06-02 20:40:00;abacaxi
2022-06-02 21:00:00;abacaxi
2022-06-02 21:20:00;laranja
2022-06-02 21:40:00;pessego
2022-06-02 22:00:00;abacaxi
2022-06-02 22:20:00;abacate
2022-06-02 22:40:00;laranja
2022-06-02 23:00:00;uva
2022-06-02 23:20:00;pessego
2022-06-02 23:40:00;laranja
2022-06-03 00:00:00;melancia
2022-06-03 00:20:00;manga
2022-06-03 00:40:00;abacate
2022-06-03 01:00:00;pessego
2022-06-03 01:20:00;manga
2022-06-03 01:40:00;banana
2022-06-03 02:00:00;uva
2022-06-03 02:20:00;abacaxi
2022-06-03 02:40:00;pessego
2022-06-03 03:00:00;abacate
2022-06-03 03:20:00;goiaba
2022-06-03 03:40:00;laranja
2022-06-03 04:00:00;banana
2022-06-03 04:20:00;goiaba
2022-06-03 04:40:00;melancia
2022-06-03 05:00:00;melancia
2022-06-03 05:20:00;pessego
2022-06-03 05:40:00;abacaxi
2022-06-03 06:00:00;banana
2022-06-03 06:20:00;pessego
2022-06-03 06:40:00;melancia
2022-06-03 07:00:00;tangerina
2022-06-03 07:20:00;laranja
2022-06-03 07:40:00;banana
2022-06-03 08:00:00;melancia
2022-06-03 08:20:00;tangerina
2022-06-03 08:40:00;laranja
2022-06-03 09:00:00;melancia
2022-06-03 09:20:00;manga
2022-06-03 09:40:00;melancia
2022-06-03 10:00:00;goiaba
2022-06-03 10:20:00;banana
2022-06-03 10:40:00;abacaxi
2022-06-03 11:00:00;banana
2022-06-03 11:20:00;banana
2022-06-03 11:40:00;goiaba
2022-06-03 12:00:00;goiaba
2022-06-03 12:20:00;abacate
2022-06-03 12:40:00;pessego
2022-06-03 13:00:00;uva
2022-06-03 13:20:00;banana
2022-06-03 13:40:00;laranja
2022-06-03 14:00:00;laranja
